file_path,scenario_id,prompt_name,run_id,model_name,repeat_idx,image_path,task_text,inference_time_sec,json_parse_ok,error,plan_correctness,notes
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r4.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,4,images/2boxesaside.png,Pick up the darker box.,44.30185233300017,True,,1.0,
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r5.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,5,images/2boxesaside.png,Pick up the darker box.,43.47043305300031,True,,1.0,
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r6.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,6,images/2boxesaside.png,Pick up the darker box.,23.66440200400029,True,,1.0,
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r7.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,7,images/2boxesaside.png,Pick up the darker box.,26.83696060800048,True,,0.5,
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r8.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,8,images/2boxesaside.png,Pick up the darker box.,17.419172953999805,True,,0.0,
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r9.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,9,images/2boxesaside.png,Pick up the darker box.,32.72776870500002,True,,0.0,
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r10.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,10,images/2boxesaside.png,Pick up the darker box.,68.18157340000016,True,,1.0,
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r1.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,1,images/2boxesaside.png,Pick up the darker box.,17.536755369001185,True,,0.0,
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r2.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,2,images/2boxesaside.png,Pick up the darker box.,18.17429298800016,True,,0.0,
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r3.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,3,images/2boxesaside.png,Pick up the darker box.,11.532500960998732,True,,0.0,
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r4.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,4,images/2boxesaside.png,Pick up the darker box.,11.57886463000068,True,,0.0,
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r5.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,5,images/2boxesaside.png,Pick up the darker box.,13.983719507999922,True,,0.0,
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r6.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,6,images/2boxesaside.png,Pick up the darker box.,12.143669759001568,True,,0.0,
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r7.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,7,images/2boxesaside.png,Pick up the darker box.,11.942937145000542,True,,0.0,
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r8.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,8,images/2boxesaside.png,Pick up the darker box.,11.689524680999966,True,,0.0,
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r9.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,9,images/2boxesaside.png,Pick up the darker box.,15.732360708998383,True,,0.0,
bc_with_image/only_image/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__only_image__2boxesaside__r10.json,bc_with_image,only_image,2026-03-16_12-16-03,gpt-5.2,10,images/2boxesaside.png,Pick up the darker box.,15.450479645998712,True,,0.0,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r1.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,1,images/2boxesaside.png,Pick up the darker box.,16.718619516000217,True,,0.0,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r2.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,2,images/2boxesaside.png,Pick up the darker box.,15.276866026999414,True,,0.0,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r3.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,3,images/2boxesaside.png,Pick up the darker box.,14.170545083000434,True,,0.0,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r4.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,4,images/2boxesaside.png,Pick up the darker box.,17.95117286599998,True,,0.0,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r5.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,5,images/2boxesaside.png,Pick up the darker box.,12.47856695000064,True,,0.0,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r6.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,6,images/2boxesaside.png,Pick up the darker box.,11.213213400999848,True,,0.0,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r7.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,7,images/2boxesaside.png,Pick up the darker box.,12.250780848000431,True,,0.0,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r8.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,8,images/2boxesaside.png,Pick up the darker box.,23.47566570300023,True,,0.0,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r9.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,9,images/2boxesaside.png,Pick up the darker box.,36.76832717899924,True,,1.0,
bc_with_image/only_image/2026-03-16_12-16-03/o3/bc_with_image__o3__only_image__2boxesaside__r10.json,bc_with_image,only_image,2026-03-16_12-16-03,o3,10,images/2boxesaside.png,Pick up the darker box.,23.731466958000052,True,,1.0,
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r1.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,1,,Pick up the darker box.,11.53921276699839,True,,1.0,
