scenario_id,prompt_name,run_id,model_name,repeat_idx,plan_correctness,notes
sb_with_image,only_image,2026-03-16_11-36-07,o3,1,1,
sb_with_image,only_image,2026-03-16_11-36-07,o3,2,1,
sb_with_image,only_image,2026-03-16_11-36-07,o3,3,1,
sb_with_image,only_image,2026-03-16_11-36-07,o3,4,1,
sb_with_image,only_image,2026-03-16_11-36-07,o3,5,1,
sb_with_image,only_image,2026-03-16_11-36-07,o3,6,1,
sb_with_image,only_image,2026-03-16_11-36-07,o3,7,1,
sb_with_image,only_image,2026-03-16_11-36-07,o3,8,1,
sb_with_image,only_image,2026-03-16_11-36-07,o3,9,1,
sb_with_image,only_image,2026-03-16_11-36-07,o3,10,1,
